Job, Company Name, 
Software Engineer, Frontend, FishingBooker 
, https://www.helloworld.rs/posao/Frontend-Vue.javascript-Developer/enjoy.ing-software-engineering-d.o.o/385157?scope=srpoz&tag=21%2C316&cat=281&q=Frontend+developer&city=96&disable_saved_search=0&show_more=1&item_index=14 
Frontend Developer,  
,  JavaScript CSS Angular Git SASS TypeScript Agile  
, https://www.helloworld.rs/posao/Frontend-Developer/Fazi-d.o.o/385164?scope=srpoz&tag=21%2C316&cat=281&q=Frontend+developer&city=96&disable_saved_search=0&show_more=1&item_index=15 
Senior Frontend Developer, Horisen Solutions d.o.o. 
,  Linux JavaScript CSS HTML5 AngularJS Git Docker REST SASS  
, https://www.helloworld.rs/posao/Senior-Frontend-Developer/Horisen-Solutions-d.o.o/383453?scope=srpoz&tag=21%2C316&cat=281&q=Frontend+developer&city=96&disable_saved_search=0&show_more=1&item_index=16 
Frontend Developer,  
,  JavaScript CSS HTML Angular Git Vue.js Agile  
, https://www.helloworld.rs/posao/Frontend-Developer/Typeqast-Nederland-B.V/382891?scope=srpoz&tag=21%2C316&cat=281&q=Frontend+developer&city=96&disable_saved_search=0&show_more=1&item_index=17 
Front-end Web Developer (HTML, CSS), Computer Rock 
,  JavaScript CSS HTML jQuery HTML5 Git CSS3  
, https://www.helloworld.rs/posao/Front-end-Web-Developer-HTML-CSS/Computer-Rock/382079?scope=srpoz&tag=21%2C316&cat=281&q=Frontend+developer&city=96&disable_saved_search=0&show_more=1&item_index=18 
Senior Frontend Engineer - React, Kraken 
,  JavaScript REST TypeScript  
, https://www.helloworld.rs/posao/Senior-Frontend-Engineer-React/Kraken/386331?scope=srpoz&tag=21%2C316&cat=281&q=Frontend+developer&city=96&disable_saved_search=0&show_more=1&item_index=19 
Senior Frontend Engineer - React (EMEA), Kraken 
,  JavaScript REST TypeScript  
, https://www.helloworld.rs/posao/Senior-Frontend-Engineer-React-EMEA/Kraken/386379?scope=srpoz&tag=21%2C316&cat=281&q=Frontend+developer&city=96&disable_saved_search=0&show_more=1&item_index=20 
Senior Frontend Engineer - React Native, Kraken 
,  JavaScript REST TypeScript  
, https://www.helloworld.rs/posao/Senior-Frontend-Engineer-React-Native/Kraken/386381?scope=srpoz&tag=21%2C316&cat=281&q=Frontend+developer&city=96&disable_saved_search=0&show_more=1&item_index=21 
Senior Frontend Engineer - React, Cryptowatch, Kraken 
,  JavaScript CSS REST SASS TypeScript  
, https://www.helloworld.rs/posao/Senior-Frontend-Engineer-React-Cryptowatch/Kraken/386382?scope=srpoz&tag=21%2C316&cat=281&q=Frontend+developer&city=96&disable_saved_search=0&show_more=1&item_index=22 
Frontend Engineer - Internal Tools, Kraken 
,  JavaScript REST TypeScript  
, https://www.helloworld.rs/posao/Frontend-Engineer-Internal-Tools/Kraken/386100?scope=srpoz&tag=21%2C316&cat=281&q=Frontend+developer&city=96&disable_saved_search=0&show_more=1&item_index=23 
Front End Software Engineer - Goguen / Marlowe, Input Output (IOHK) 
,  JavaScript CSS HTML HTTP  
, https://www.helloworld.rs/posao/Front-End-Software-Engineer-Goguen-Marlowe/Input-Output-IOHK/384096?scope=srpoz&tag=21%2C316&cat=281&q=Frontend+developer&city=96&disable_saved_search=0&show_more=1&item_index=24 
Front End Engineer (ReactJS, Typescript), Modus Create, Inc 
,  JavaScript ReactJS TypeScript Agile  
, https://www.helloworld.rs/posao/Front-End-Engineer-ReactJS-Typescript/Modus-Create-Inc/382851?scope=srpoz&tag=21%2C316&cat=281&q=Frontend+developer&city=96&disable_saved_search=0&show_more=1&item_index=25 
Front-end Engineer, Armani team, Toptal 
,  JavaScript Docker  
, https://www.helloworld.rs/posao/Front-end-Engineer-Armani-team/Toptal/382170?scope=srpoz&tag=21%2C316&cat=281&q=Frontend+developer&city=96&disable_saved_search=0&show_more=1&item_index=26 
Front-end Engineer, Screening Ops Team, Toptal 
,  JavaScript CSS HTML TypeScript Cypress  
, https://www.helloworld.rs/posao/Front-end-Engineer-Screening-Ops-Team/Toptal/382226?scope=srpoz&tag=21%2C316&cat=281&q=Frontend+developer&city=96&disable_saved_search=0&show_more=1&item_index=27 
Senior Front-end Engineer, Client Portal Team, Toptal 
,  JavaScript TypeScript Cypress  
, https://www.helloworld.rs/posao/Senior-Front-end-Engineer-Client-Portal-Team/Toptal/382233?scope=srpoz&tag=21%2C316&cat=281&q=Frontend+developer&city=96&disable_saved_search=0&show_more=1&item_index=28 
Senior Front-end Engineer, Front-end Experience team, Toptal 
,  JavaScript TypeScript Agile Cypress  
, https://www.helloworld.rs/posao/Senior-Front-end-Engineer-Front-end-Experience-team/Toptal/382236?scope=srpoz&tag=21%2C316&cat=281&q=Frontend+developer&city=96&disable_saved_search=0&show_more=1&item_index=29 
Senior Front-end Engineer, Matrix team, Toptal 
,  JavaScript Angular HTML5 CSS3 TypeScript  
, https://www.helloworld.rs/posao/Senior-Front-end-Engineer-Matrix-team/Toptal/382239?scope=srpoz&tag=21%2C316&cat=281&q=Frontend+developer&city=96&disable_saved_search=0&show_more=1&item_index=30 
,  
,  
, https://www.helloworld.rsundefined 
